Riskiness_week_uniform_rank,Riskiness_month_uniform_rank
WDRW,WDRW
LMLP,FINU
LBDC,FINZ
FAZ,DPST
FAS,DXJF
BDCL,LBDC
FINU,UYG
DPST,FAZ
CHIX,PSP
FINZ,LMLP
EUFN,KBWD
KCE,IYF
UYG,FAS
PEX,FXO
SKF,RWW
DXJF,PFI
KIE,XLF
PFI,FNCL
KBWP,VFH
BDCZ,RYF
IYF,BIZD
PSCF,IYG
RYF,IAI
FNCL,PEX
VFH,JHMF
PSP,PSCF
IAK,QABA
XLF,CHIX
FXO,KBE
BIZD,KBWR
SEF,KCE
QABA,KRE
IAT,EUFN
RWW,KBWB
JHMF,IAT
IXG,SKF
KBWR,VQT
KRE,PHDG
KBE,BDCL
IYG,KBWP
IAI,IAK
BDCS,KIE
KBWB,BDCS
KBWD,SEF
VQT,BDCZ
PHDG,IXG
