Consumer_Staples_Equity_Sharpe_Omega_week_rank,Consumer_Staples_Equity_Sharpe_Omega_month_rank
SZK,SZK
WBID,FXG
FXG,WBID
PBJ,PBJ
ECON,ECON
XLP,KXI
IYK,XLP
FSTA,IYK
KXI,FSTA
RHS,RHS
VDC,VDC
UGE,UGE
EMCG,EMCG
WBIE,WBIE
WBIL,WBIL
PSL,PSL
PSCC,PSCC
